Tue Aug  5 14:17:59 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 12403.473406490746, 124.03473406490747
Epoch [4/200], Train Loss: 0.1413 | Test Loss: 0.2093 | LR: [0.00314227212817401]| Epoch Time: 1.2240018844604492 s
Recon: 0.1397 | dx: 0.0011 | dz: 0.0006 | 
Epoch [5/200], Train Loss: 0.1401 | Test Loss: 0.2129 | LR: [0.00314227212817401]| Epoch Time: 1.2090644836425781 s
Recon: 0.1385 | dx: 0.0011 | dz: 0.0005 | 
Epoch [6/200], Train Loss: 0.1390 | Test Loss: 0.2170 | LR: [0.00314227212817401]| Epoch Time: 1.2092688083648682 s
Recon: 0.1374 | dx: 0.0011 | dz: 0.0005 | 
Epoch [7/200], Train Loss: 0.1380 | Test Loss: 0.2279 | LR: [0.00314227212817401]| Epoch Time: 1.1985735893249512 s
Recon: 0.1364 | dx: 0.0011 | dz: 0.0005 | 
Epoch [8/200], Train Loss: 0.1371 | Test Loss: 0.2252 | LR: [0.00314227212817401]| Epoch Time: 1.2211222648620605 s
Recon: 0.1354 | dx: 0.0011 | dz: 0.0005 | 
Epoch [9/200], Train Loss: 0.1364 | Test Loss: 0.2356 | LR: [0.00314227212817401]| Epoch Time: 1.2312440872192383 s
Recon: 0.1348 | dx: 0.0011 | dz: 0.0005 | 
Epoch [10/200], Train Loss: 0.1358 | Test Loss: 0.2355 | LR: [0.00314227212817401]| Epoch Time: 1.225801944732666 s
Recon: 0.1341 | dx: 0.0011 | dz: 0.0005 | 
Epoch [11/200], Train Loss: 0.1351 | Test Loss: 0.2411 | LR: [0.000314227212817401]| Epoch Time: 1.2183430194854736 s
Recon: 0.1334 | dx: 0.0011 | dz: 0.0005 | 
Epoch [12/200], Train Loss: 0.1321 | Test Loss: 0.2393 | LR: [0.000314227212817401]| Epoch Time: 1.3641254901885986 s
Recon: 0.1305 | dx: 0.0011 | dz: 0.0005 | 
Epoch [13/200], Train Loss: 0.1317 | Test Loss: 0.2400 | LR: [0.000314227212817401]| Epoch Time: 1.2256948947906494 s
Recon: 0.1301 | dx: 0.0011 | dz: 0.0005 | 
Epoch [14/200], Train Loss: 0.1316 | Test Loss: 0.2405 | LR: [0.000314227212817401]| Epoch Time: 1.23146653175354 s
Recon: 0.1300 | dx: 0.0011 | dz: 0.0005 | 
Epoch [15/200], Train Loss: 0.1315 | Test Loss: 0.2419 | LR: [0.000314227212817401]| Epoch Time: 1.229943037033081 s
Recon: 0.1299 | dx: 0.0011 | dz: 0.0005 | 
Epoch [16/200], Train Loss: 0.1314 | Test Loss: 0.2419 | LR: [0.000314227212817401]| Epoch Time: 1.2335519790649414 s
Recon: 0.1299 | dx: 0.0011 | dz: 0.0005 | 
Epoch [17/200], Train Loss: 0.1314 | Test Loss: 0.2438 | LR: [0.000314227212817401]| Epoch Time: 1.2460544109344482 s
Recon: 0.1298 | dx: 0.0011 | dz: 0.0005 | 
Epoch [18/200], Train Loss: 0.1313 | Test Loss: 0.2434 | LR: [0.000314227212817401]| Epoch Time: 1.2412340641021729 s
Recon: 0.1297 | dx: 0.0011 | dz: 0.0005 | 
Epoch [19/200], Train Loss: 0.1312 | Test Loss: 0.2440 | LR: [0.000314227212817401]| Epoch Time: 1.2306878566741943 s
Recon: 0.1296 | dx: 0.0011 | dz: 0.0005 | 
Epoch [20/200], Train Loss: 0.1312 | Test Loss: 0.2462 | LR: [0.000314227212817401]| Epoch Time: 1.2495827674865723 s
Recon: 0.1296 | dx: 0.0011 | dz: 0.0005 | 
Epoch [21/200], Train Loss: 0.1311 | Test Loss: 0.2471 | LR: [0.000314227212817401]| Epoch Time: 1.2145116329193115 s
Recon: 0.1295 | dx: 0.0011 | dz: 0.0005 | 
Epoch [22/200], Train Loss: 0.1310 | Test Loss: 0.2467 | LR: [3.14227212817401e-05]| Epoch Time: 1.3618319034576416 s
Recon: 0.1294 | dx: 0.0011 | dz: 0.0005 | 
Epoch [23/200], Train Loss: 0.1307 | Test Loss: 0.2466 | LR: [3.14227212817401e-05]| Epoch Time: 1.2365925312042236 s
Recon: 0.1291 | dx: 0.0011 | dz: 0.0005 | 
Epoch [24/200], Train Loss: 0.1307 | Test Loss: 0.2468 | LR: [3.14227212817401e-05]| Epoch Time: 1.2314119338989258 s
Recon: 0.1291 | dx: 0.0011 | dz: 0.0005 | 
Epoch [25/200], Train Loss: 0.1306 | Test Loss: 0.2471 | LR: [3.14227212817401e-05]| Epoch Time: 1.2529866695404053 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [26/200], Train Loss: 0.1306 | Test Loss: 0.2469 | LR: [3.14227212817401e-05]| Epoch Time: 1.2459018230438232 s
