Tue Aug  5 14:17:00 PDT 2025
activating
starting vanilla cp
Using cpu device
Epoch [22/200], Train Loss: 0.1713 | Test Loss: 0.3068 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9085969924926758 s
Recon: 0.1389 | dx: 0.0323 | dz: 0.0001 | 
Epoch [23/200], Train Loss: 0.1710 | Test Loss: 0.3061 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9015114307403564 s
Recon: 0.1387 | dx: 0.0322 | dz: 0.0001 | 
Epoch [24/200], Train Loss: 0.1709 | Test Loss: 0.3060 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9008755683898926 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [25/200], Train Loss: 0.1709 | Test Loss: 0.3060 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9040186405181885 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [26/200], Train Loss: 0.1709 | Test Loss: 0.3060 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9016354084014893 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [27/200], Train Loss: 0.1709 | Test Loss: 0.3058 | LR: [2.4828847809668823e-05]| Epoch Time: 1.0290782451629639 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [28/200], Train Loss: 0.1709 | Test Loss: 0.3061 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9072592258453369 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [29/200], Train Loss: 0.1708 | Test Loss: 0.3061 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9061446189880371 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [30/200], Train Loss: 0.1709 | Test Loss: 0.3061 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9064555168151855 s
Recon: 0.1386 | dx: 0.0322 | dz: 0.0001 | 
Epoch [31/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9066042900085449 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [32/200], Train Loss: 0.1708 | Test Loss: 0.3062 | LR: [2.4828847809668823e-05]| Epoch Time: 0.9042189121246338 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [33/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668824e-06]| Epoch Time: 0.907801628112793 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [34/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9048106670379639 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
