trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
584,2.0601004362106323,PRUNED,0:00:00.130752,8.715062990734538e-05,58,2,2,0.6140795774709223
585,2.144018095659922,PRUNED,0:00:00.316206,0.0003556226852541686,18,4,2,0.5876029605548759
586,2.3636979223733925,PRUNED,0:00:00.274247,0.0006340106974268795,18,2,2,0.5771413370952931
587,2.7250428047409514e-06,COMPLETE,0:00:28.602793,0.00010808796742977267,4,2,2,0.5791555894510338
588,2.691165483173202,PRUNED,0:00:00.532837,0.0006208882220789818,11,2,2,0.9489006269773682
589,2.079073761933602,PRUNED,0:00:00.406567,0.00011476354340291246,10,1,2,0.9447695689047126
590,2.094693164671621,PRUNED,0:00:00.393004,5.9587209758204625e-05,12,2,2,1.0850281832973232
591,2.203854745666453,PRUNED,0:00:00.865704,0.0009933524716463885,5,2,2,0.558947469708331
592,2.1501100886435736,PRUNED,0:00:00.156717,8.726202692517501e-05,36,2,2,1.2039419416310377
593,2.0003392439854295,PRUNED,0:00:00.694758,5.9864208107542485e-05,19,2,3,0.5015269637832459
594,2.093202254464549,PRUNED,0:00:00.294928,4.2928233195384294e-05,24,2,3,1.0253765722256947
595,2.0711628876386152,PRUNED,0:00:01.096491,0.00045114903491141087,4,2,2,0.9918817375493635
596,302.10574908503173,PRUNED,0:00:00.128387,0.009364794767184005,52,2,2,0.631472956558114
597,2.176943749189377,PRUNED,0:00:00.076608,0.00010939019651958577,206,4,2,0.7370466543586001
598,2.105515130541541,PRUNED,0:00:00.286772,0.00014115389871484666,17,2,2,0.9906353354808389
599,2.0443436758858815,PRUNED,0:00:00.123620,8.40511673093392e-05,74,3,2,0.5386276142231412
600,1.0294782810954637,PRUNED,0:00:17.870812,3.933771186830541e-05,4,2,2,0.5975983688266867
601,2.003515766823993,PRUNED,0:00:00.777111,4.0011183460276586e-05,11,1,2,0.5986100112719299
602,2.041348123550415,PRUNED,0:00:00.078929,2.664150713295402e-06,155,2,2,0.552490096513134
603,728.1457377931346,PRUNED,0:00:00.207739,0.02024332071832737,33,2,2,0.5766038875304865
604,2.0343229452768963,PRUNED,0:00:00.214708,6.046767046134935e-05,25,2,2,0.6430989154372705
605,2.0090454850241404,PRUNED,0:00:00.868118,1.167062360284766e-05,14,2,3,0.5309117222790286
606,2.1422393623987834,PRUNED,0:00:00.257645,1.216972618601378e-06,20,4,2,1.2411692392789977
607,2.16298951043023,PRUNED,0:00:00.071039,8.184835947843888e-05,182,2,2,1.0609697909009492
608,2.0306932663917543,PRUNED,0:00:00.336208,5.539754326975317e-05,15,2,2,0.6280827336273858
609,2.0439039641811,PRUNED,0:00:00.544806,0.00024135660032029312,8,2,2,0.6061712642356717
610,4.123320650251117e-06,COMPLETE,0:00:34.753474,0.00010676814676767366,4,1,3,0.5206590988172399
611,2.0912490950690374,PRUNED,0:00:00.191742,0.00010557874997451646,42,2,3,0.5850256181097011
612,2.0027580169531016,PRUNED,0:00:00.411636,3.987663303831883e-05,23,2,2,0.5155361557739935
613,1.9982487599054972,PRUNED,0:00:00.510966,6.429155678929341e-05,20,3,2,0.5186101876440184
614,2.0342091818650565,PRUNED,0:00:00.076983,3.7222638200571027e-06,124,1,2,0.5617792888345072
615,2.185439348220825,PRUNED,0:00:00.064637,6.46292643990718e-05,221,3,2,1.1659067529805824
616,2.0668650916827622,PRUNED,0:00:00.389380,5.107769240149922e-05,16,2,3,0.8988126123008089
617,2.0345483596126237,PRUNED,0:00:00.249226,2.662837861196179e-05,31,2,3,0.6213278218138449
618,2.1417592465877533,PRUNED,0:00:00.093047,0.000102756777301928,93,2,2,0.8996307807621212
619,2.081880529721578,PRUNED,0:00:00.082264,2.29051084715177e-05,175,2,2,0.7648904555439517
620,2.066527181201511,PRUNED,0:00:00.077072,2.298557974942625e-05,175,2,2,0.6786251152002774
621,2.031956663867771,PRUNED,0:00:00.457674,7.822325651264676e-05,10,4,2,0.6445502778577573
622,1.4809571072559229,PRUNED,0:00:02.784454,7.572914293328869e-05,10,4,2,0.5373815068939057
623,3.6892133721266873e-06,COMPLETE,0:00:11.267321,0.00018839334173230868,10,1,2,0.5392950317057145
624,2.1509009122848513,PRUNED,0:00:00.086137,0.00017552781865697414,102,1,2,0.5366986702633705
625,2.0882784003211605,PRUNED,0:00:00.343101,3.8096224793347107e-05,12,2,2,1.0382838831014038
626,2.0305077216335548,PRUNED,0:00:00.328537,3.852484343654386e-05,14,2,2,0.6121133373118979
627,2.0648813305362577,PRUNED,0:00:00.213239,5.053845214589244e-05,24,2,2,0.850132241630009
628,2.2303075316131755,PRUNED,0:00:00.389093,0.0002794282255721667,16,2,3,0.969767542953514
629,2.1245120048522947,PRUNED,0:00:00.155960,6.643518293404173e-05,50,2,3,0.9259212454478984
630,1.8898366905120483,PRUNED,0:00:01.066322,0.00010699993552406633,18,4,2,0.5000717138095537
631,2.1360684037208557,PRUNED,0:00:00.071245,0.00011877092346323618,192,4,2,0.5573173767458872
632,2.042139576828998,PRUNED,0:00:00.123671,5.372644871235653e-05,65,4,2,0.5638085920634047
633,20791.016421253033,PRUNED,0:00:00.077922,0.04590067295265948,143,3,2,1.013103111566843
634,2.0284610241651535,PRUNED,0:00:00.112480,5.475343420353826e-05,63,1,2,0.5785978048976353
635,2.039734156926473,PRUNED,0:00:00.244804,7.091004095854401e-05,20,1,2,0.6633079821700529
636,2.0404037504360595,PRUNED,0:00:00.202059,6.847782476054992e-05,26,2,2,0.6643319415546131
637,2.1354170611926486,PRUNED,0:00:00.199180,9.275993686180592e-05,27,2,2,1.2739021853506034
638,2.5564813768141903e-06,COMPLETE,0:00:11.258528,9.759106296672958e-05,11,2,2,0.5301164482773177
639,91.67544691834674,PRUNED,0:00:00.410809,0.011991067390446822,10,2,2,0.5338686400563624
640,2.010157181370643,PRUNED,0:00:00.976179,4.355608466726918e-05,12,2,3,0.6071610423658105
641,2.068203639984131,PRUNED,0:00:00.087439,4.486915382411589e-05,159,2,3,0.606714536891852
642,2.123768302798271,PRUNED,0:00:00.156781,6.26155693259541e-05,38,2,2,1.1039871433312127
643,2.029262030684708,PRUNED,0:00:00.416030,3.307097733115603e-05,10,2,2,0.6225618270270223
644,2.0441531777381896,PRUNED,0:00:00.076900,3.238059686641205e-05,149,2,2,0.622194481783507
645,2.0813802049515093,PRUNED,0:00:00.173542,0.000194702274462812,32,2,2,0.5750055835170871
646,2.099304085192473,PRUNED,0:00:00.489225,4.9889949689353575e-05,13,2,3,1.1490637006747944
647,2.053261677424113,PRUNED,0:00:00.083208,4.9518376177697935e-05,169,2,3,0.5998244324183478
648,2.0725069853567306,PRUNED,0:00:00.302765,0.00012602066633636086,16,3,2,0.8046307015471446
649,2.0717980333521395,PRUNED,0:00:00.269805,2.0300833445985973e-06,19,3,2,0.8125996921340753
650,4811.435701964696,PRUNED,0:00:00.252941,0.06714522695877323,20,2,2,0.5723727485030408
651,2.0275049192804686,PRUNED,0:00:00.248550,6.619135061711164e-06,21,2,2,0.547040028502201
652,1.9988856278933012,PRUNED,0:00:00.393450,9.397872341515334e-05,23,2,2,0.5520040316034934
653,2.0975654510351327,PRUNED,0:00:00.237564,0.0003427193300645528,23,2,2,0.516576798743625
654,2.072219399844899,PRUNED,0:00:00.140219,9.172521788354815e-05,45,2,2,0.6418695003167899
655,2.168203654197546,PRUNED,0:00:00.183531,0.00033741001459065633,29,2,2,0.515874540637408
656,27.605364053159633,PRUNED,0:00:00.528908,0.003668193160044652,8,2,2,1.3554228041042151
657,2.085214945577806,PRUNED,0:00:00.496483,6.39233985405646e-05,8,1,2,1.0764680162681544
658,2.0605298280715942,PRUNED,0:00:00.074168,6.527529290239369e-05,200,1,2,0.572509451396347
659,2.0943028132120767,PRUNED,0:00:00.511065,7.607635254741923e-05,8,2,2,1.0712504553633055
660,50.381376371383666,PRUNED,0:00:00.309402,0.007319602368767618,15,2,2,0.5913527068116355
661,2.0913354575634004,PRUNED,0:00:00.095974,0.0001263203827437839,77,2,2,0.5910292600383799
662,2.033807588815689,PRUNED,0:00:00.306498,1.752676515570088e-05,15,2,2,0.6272700655767043
663,2.038423851728439,PRUNED,0:00:00.427729,8.297056462065431e-05,15,2,3,0.6360672542837839
664,2.0387510573752574,PRUNED,0:00:00.699986,5.639078144859879e-05,14,4,3,0.6398971839525988
665,3.180317821956816,PRUNED,0:00:00.282112,0.00047060344210768016,36,4,3,0.6492629096908518
666,2.5233205291959973,PRUNED,0:00:00.218060,0.0004576215974102809,28,4,2,0.5337725854070146
667,2.0392140490668162,PRUNED,0:00:00.184130,0.00010818665274077991,36,4,2,0.5330281299730318
668,2.004289134190633,PRUNED,0:00:00.349027,5.780350777247179e-05,29,2,2,0.532751216807705
669,1935.8261047431401,PRUNED,0:00:00.075483,0.017611068437557307,232,3,2,0.5637107175379921
670,2.1140189435746937,PRUNED,0:00:00.132249,5.528928257021503e-05,56,3,2,1.0458314246527332
671,2.042648099086903,PRUNED,0:00:00.122217,5.785720956421062e-05,56,2,2,0.6134815711660053
672,3.479447927526248,PRUNED,0:00:00.305154,0.0012482305854056317,16,2,2,0.6107031696460213
673,2.0553798973560333,PRUNED,0:00:00.091323,7.442611265350054e-05,130,2,2,0.6130115238021915
674,16.27896124124527,PRUNED,0:00:00.091427,0.0023205656284834794,133,2,2,0.5011317543306876
675,2.065329892725884,PRUNED,0:00:00.265737,0.00025734705386825003,19,2,2,0.5615570605407785
676,2.0404381926854454,PRUNED,0:00:00.287912,4.411930574248157e-05,20,2,2,0.6844781779433606
677,2.059690679175944,PRUNED,0:00:00.279329,0.00024748183682120865,19,2,2,0.5543909555033313
